Unnamed: 0,Run,Experiment,OverallScores
86,7,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.7196261682242989, 'answer_similarity': 3.02803738317757}"
87,8,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.7009345794392524, 'answer_similarity': 3.046728971962617}"
88,9,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.707165109034268, 'answer_similarity': 3.130841121495327}"
89,10,Classic VDB + Multi Query + Cohere rerank,"{'retrieval_precision': 0.7102803738317757, 'answer_similarity': 3.0186915887850465}"
90,1,Sentence window retrieval,"{'retrieval_precision': 0.8629283489096574, 'answer_similarity': 2.925233644859813}"
91,2,Sentence window retrieval,"{'retrieval_precision': 0.8878504672897196, 'answer_similarity': 2.8598130841121496}"
92,3,Sentence window retrieval,"{'retrieval_precision': 0.8598130841121496, 'answer_similarity': 2.9065420560747666}"
93,4,Sentence window retrieval,"{'retrieval_precision': 0.8660436137071654, 'answer_similarity': 2.897196261682243}"
94,5,Sentence window retrieval,"{'retrieval_precision': 0.8566978193146416, 'answer_similarity': 2.94392523364486}"
95,6,Sentence window retrieval,"{'retrieval_precision': 0.8660436137071654, 'answer_similarity': 2.897196261682243}"
96,7,Sentence window retrieval,"{'retrieval_precision': 0.8598130841121495, 'answer_similarity': 2.878504672897196}"
97,8,Sentence window retrieval,"{'retrieval_precision': 0.869158878504673, 'answer_similarity': 2.8878504672897196}"
98,9,Sentence window retrieval,"{'retrieval_precision': 0.869158878504673, 'answer_similarity': 2.850467289719626}"
99,10,Sentence window retrieval,"{'retrieval_precision': 0.8566978193146418, 'answer_similarity': 2.9345794392523366}"
100,1,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8722741433021807, 'answer_similarity': 2.8317757009345796}"
101,2,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8691588785046728, 'answer_similarity': 2.878504672897196}"
102,3,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8847352024922117, 'answer_similarity': 2.869158878504673}"
103,4,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8691588785046728, 'answer_similarity': 2.897196261682243}"
104,5,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8629283489096574, 'answer_similarity': 2.794392523364486}"
105,6,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8691588785046729, 'answer_similarity': 2.869158878504673}"
106,7,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8722741433021807, 'answer_similarity': 2.822429906542056}"
107,8,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8909657320872274, 'answer_similarity': 2.94392523364486}"
108,9,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8753894080996887, 'answer_similarity': 2.8878504672897196}"
109,10,Sentence window retrieval + Cohere rerank,"{'retrieval_precision': 0.8785046728971961, 'answer_similarity': 2.869158878504673}"
110,1,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.9018691588785047, 'answer_similarity': 2.7757009345794392}"
111,2,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.895638629283489, 'answer_similarity': 2.8317757009345796}"
112,3,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.9080996884735203, 'answer_similarity': 2.878504672897196}"
113,4,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.8862928348909658, 'answer_similarity': 2.803738317757009}"
114,5,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.886292834890966, 'answer_similarity': 2.869158878504673}"
115,6,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.9065420560747663, 'answer_similarity': 2.7570093457943927}"
116,7,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.9127725856697819, 'answer_similarity': 2.822429906542056}"
117,8,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.8878504672897196, 'answer_similarity': 2.94392523364486}"
118,9,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.897196261682243, 'answer_similarity': 2.8130841121495327}"
119,10,Sentence window retrieval + LLM Rerank,"{'retrieval_precision': 0.9034267912772586, 'answer_similarity': 2.8130841121495327}"
120,1,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8598130841121495, 'answer_similarity': 2.850467289719626}"
121,2,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8411214953271029, 'answer_similarity': 2.9626168224299065}"
122,3,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8691588785046728, 'answer_similarity': 2.94392523364486}"
123,4,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8753894080996882, 'answer_similarity': 2.9158878504672896}"
124,5,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8847352024922117, 'answer_similarity': 2.869158878504673}"
125,6,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8660436137071649, 'answer_similarity': 2.897196261682243}"
126,7,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8629283489096572, 'answer_similarity': 2.8878504672897196}"
127,8,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8473520249221183, 'answer_similarity': 2.897196261682243}"
128,9,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8660436137071649, 'answer_similarity': 2.8598130841121496}"
129,10,Sentence window retrieval + HyDE,"{'retrieval_precision': 0.8566978193146416, 'answer_similarity': 2.9906542056074765}"
130,1,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.856697819314642, 'answer_similarity': 2.9158878504672896}"
131,2,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8598130841121495, 'answer_similarity': 2.8317757009345796}"
132,3,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8660436137071652, 'answer_similarity': 2.9906542056074765}"
133,4,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8878504672897197, 'answer_similarity': 2.878504672897196}"
134,5,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8722741433021808, 'answer_similarity': 2.8878504672897196}"
135,6,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8535825545171342, 'answer_similarity': 2.9065420560747666}"
136,7,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8535825545171342, 'answer_similarity': 2.8878504672897196}"
137,8,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8473520249221185, 'answer_similarity': 2.97196261682243}"
138,9,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8348909657320871, 'answer_similarity': 2.8598130841121496}"
139,10,Sentence window retrieval + HyDE + Cohere Rerank,"{'retrieval_precision': 0.8442367601246106, 'answer_similarity': 2.8878504672897196}"
140,1,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7383177570093459, 'answer_similarity': 3.046728971962617}"
141,2,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7538940809968848, 'answer_similarity': 3.121495327102804}"
142,3,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7538940809968849, 'answer_similarity': 3.0654205607476634}"
143,4,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7507788161993773, 'answer_similarity': 3.046728971962617}"
144,5,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7601246105919005, 'answer_similarity': 3.0186915887850465}"
145,6,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7570093457943928, 'answer_similarity': 3.0093457943925235}"
146,7,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7445482866043616, 'answer_similarity': 2.9906542056074765}"
147,8,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.753894080996885, 'answer_similarity': 3.0}"
148,9,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7601246105919005, 'answer_similarity': 2.9906542056074765}"
149,10,Document summary index + Cohere Rerank,"{'retrieval_precision': 0.7476635514018695, 'answer_similarity': 3.02803738317757}"
150,1,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7663551401869162, 'answer_similarity': 3.0654205607476634}"
151,2,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7694704049844239, 'answer_similarity': 3.074766355140187}"
152,3,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7663551401869163, 'answer_similarity': 3.074766355140187}"
153,4,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.769470404984424, 'answer_similarity': 3.05607476635514}"
154,5,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7632398753894082, 'answer_similarity': 3.0934579439252334}"
155,6,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7663551401869162, 'answer_similarity': 3.0373831775700935}"
156,7,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7414330218068537, 'answer_similarity': 3.0934579439252334}"
157,8,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7632398753894083, 'answer_similarity': 3.0093457943925235}"
158,9,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7632398753894084, 'answer_similarity': 3.05607476635514}"
159,10,Document summary index + HyDE + Cohere Rerank,"{'retrieval_precision': 0.7601246105919004, 'answer_similarity': 3.046728971962617}"
